DHB,Date,Cases,Population
Whanganui,2013-11-30,7,63023
Whanganui,2013-12-31,18,63100
Whanganui,2014-01-31,13,63175
Whanganui,2014-02-28,4,63248
Whanganui,2014-03-31,3,63320
Whanganui,2014-04-30,9,63392
Whanganui,2014-05-31,10,63463
Whanganui,2014-06-30,5,63535
Whanganui,2014-07-31,6,63608
Whanganui,2014-08-31,9,63682
Whanganui,2014-09-30,7,63757
Whanganui,2014-10-31,9,63835
Whanganui,2014-11-30,6,63916
Whanganui,2014-12-31,7,64000
MidCentral,2008-01-31,17,164566
MidCentral,2008-02-29,14,164637
MidCentral,2008-03-31,6,164712
MidCentral,2008-04-30,9,164791
MidCentral,2008-05-31,9,164874
MidCentral,2008-06-30,5,164959
MidCentral,2008-07-31,16,165046
MidCentral,2008-08-31,44,165136
MidCentral,2008-09-30,15,165226
MidCentral,2008-10-31,15,165317
MidCentral,2008-11-30,25,165409
MidCentral,2008-12-31,21,165500
MidCentral,2009-01-31,29,165590
MidCentral,2009-02-28,17,165680
MidCentral,2009-03-31,14,165769
MidCentral,2009-04-30,15,165859
MidCentral,2009-05-31,18,165948
MidCentral,2009-06-30,12,166038
MidCentral,2009-07-31,8,166129
MidCentral,2009-08-31,20,166220
MidCentral,2009-09-30,25,166313
MidCentral,2009-10-31,20,166407
MidCentral,2009-11-30,25,166502
MidCentral,2009-12-31,33,166600
MidCentral,2010-01-31,28,166700
MidCentral,2010-02-28,32,166801
MidCentral,2010-03-31,12,166904
MidCentral,2010-04-30,13,167007
MidCentral,2010-05-31,27,167111
MidCentral,2010-06-30,19,167214
MidCentral,2010-07-31,13,167316
MidCentral,2010-08-31,20,167418
MidCentral,2010-09-30,18,167517
MidCentral,2010-10-31,21,167614
MidCentral,2010-11-30,27,167709
MidCentral,2010-12-31,18,167800
MidCentral,2011-01-31,18,167887
MidCentral,2011-02-28,13,167971
MidCentral,2011-03-31,17,168050
MidCentral,2011-04-30,8,168124
MidCentral,2011-05-31,24,168193
MidCentral,2011-06-30,23,168256
MidCentral,2011-07-31,25,168314
MidCentral,2011-08-31,26,168365
MidCentral,2011-09-30,13,168409
MidCentral,2011-10-31,23,168447
MidCentral,2011-11-30,25,168477
MidCentral,2011-12-31,24,168500
MidCentral,2012-01-31,23,168515
MidCentral,2012-02-29,22,168525
MidCentral,2012-03-31,13,168532
MidCentral,2012-04-30,12,168538
MidCentral,2012-05-31,11,168547
MidCentral,2012-06-30,9,168561
MidCentral,2012-07-31,9,168583
MidCentral,2012-08-31,14,168616
MidCentral,2012-09-30,22,168661
MidCentral,2012-10-31,25,168721
MidCentral,2012-11-30,20,168800
MidCentral,2012-12-31,19,168900
MidCentral,2013-01-31,28,169022
MidCentral,2013-02-28,13,169166
MidCentral,2013-03-31,14,169327
MidCentral,2013-04-30,10,169505
MidCentral,2013-05-31,27,169696
MidCentral,2013-06-30,17,169898
MidCentral,2013-07-31,31,170109
MidCentral,2013-08-31,19,170325
MidCentral,2013-09-30,27,170545
MidCentral,2013-10-31,25,170766
MidCentral,2013-11-30,26,170985
MidCentral,2013-12-31,48,171200
MidCentral,2014-01-31,22,171409
MidCentral,2014-02-28,25,171613
MidCentral,2014-03-31,26,171812
MidCentral,2014-04-30,11,172009
MidCentral,2014-05-31,24,172203
MidCentral,2014-06-30,18,172396
MidCentral,2014-07-31,20,172590
MidCentral,2014-08-31,28,172785
MidCentral,2014-09-30,15,172982
MidCentral,2014-10-31,22,173183
MidCentral,2014-11-30,27,173389
MidCentral,2014-12-31,21,173600
Hutt Valley,2008-01-31,30,141120
Hutt Valley,2008-02-29,33,141149
Hutt Valley,2008-03-31,21,141186
Hutt Valley,2008-04-30,13,141228
Hutt Valley,2008-05-31,16,141277
Hutt Valley,2008-06-30,10,141330
Hutt Valley,2008-07-31,16,141387
Hutt Valley,2008-08-31,25,141447
Hutt Valley,2008-09-30,30,141510
Hutt Valley,2008-10-31,32,141573
Hutt Valley,2008-11-30,41,141637
Hutt Valley,2008-12-31,31,141700
Hutt Valley,2009-01-31,38,141762
Hutt Valley,2009-02-28,24,141823
Hutt Valley,2009-03-31,24,141882
Hutt Valley,2009-04-30,26,141941
Hutt Valley,2009-05-31,22,141999
Hutt Valley,2009-06-30,23,142056
Hutt Valley,2009-07-31,21,142113
Hutt Valley,2009-08-31,35,142170
Hutt Valley,2009-09-30,28,142227
Hutt Valley,2009-10-31,35,142284
Hutt Valley,2009-11-30,48,142342
Hutt Valley,2009-12-31,31,142400
Hutt Valley,2010-01-31,49,142459
Hutt Valley,2010-02-28,46,142517
Hutt Valley,2010-03-31,25,142575
Hutt Valley,2010-04-30,24,142631
Hutt Valley,2010-05-31,33,142684
Hutt Valley,2010-06-30,24,142733
Hutt Valley,2010-07-31,20,142777
Hutt Valley,2010-08-31,16,142817
Hutt Valley,2010-09-30,19,142849
Hutt Valley,2010-10-31,29,142875
Hutt Valley,2010-11-30,32,142892
Hutt Valley,2010-12-31,26,142900
Hutt Valley,2011-01-31,19,142898
Hutt Valley,2011-02-28,5,142888
Hutt Valley,2011-03-31,13,142869
Hutt Valley,2011-04-30,14,142844
Hutt Valley,2011-05-31,18,142812
Hutt Valley,2011-06-30,17,142775
Hutt Valley,2011-07-31,30,142734
Hutt Valley,2011-08-31,26,142690
Hutt Valley,2011-09-30,17,142643
Hutt Valley,2011-10-31,13,142595
Hutt Valley,2011-11-30,21,142547
Hutt Valley,2011-12-31,30,142500
Hutt Valley,2012-01-31,25,142454
Hutt Valley,2012-02-29,16,142412
Hutt Valley,2012-03-31,11,142374
Hutt Valley,2012-04-30,14,142343
Hutt Valley,2012-05-31,11,142319
Hutt Valley,2012-06-30,12,142304
Hutt Valley,2012-07-31,8,142301
Hutt Valley,2012-08-31,2,142310
Hutt Valley,2012-09-30,16,142332
Hutt Valley,2012-10-31,18,142371
Hutt Valley,2012-11-30,19,142426
Hutt Valley,2012-12-31,19,142500
Hutt Valley,2013-01-31,17,142593
Hutt Valley,2013-02-28,18,142705
Hutt Valley,2013-03-31,5,142833
Hutt Valley,2013-04-30,4,142975
Hutt Valley,2013-05-31,11,143130
Hutt Valley,2013-06-30,9,143295
Hutt Valley,2013-07-31,14,143469
Hutt Valley,2013-08-31,12,143649
Hutt Valley,2013-09-30,12,143835
Hutt Valley,2013-10-31,10,144023
Hutt Valley,2013-11-30,23,144212
Hutt Valley,2013-12-31,17,144400
Hutt Valley,2014-01-31,23,144586
Hutt Valley,2014-02-28,13,144769
Hutt Valley,2014-03-31,12,144952
Hutt Valley,2014-04-30,10,145135
Hutt Valley,2014-05-31,9,145318
Hutt Valley,2014-06-30,11,145503
Hutt Valley,2014-07-31,14,145691
Hutt Valley,2014-08-31,12,145882
Hutt Valley,2014-09-30,10,146077
Hutt Valley,2014-10-31,15,146278
Hutt Valley,2014-11-30,18,146486
Hutt Valley,2014-12-31,64,146700
Capital and Coast,2008-01-31,43,282712
Capital and Coast,2008-02-29,43,282933
Capital and Coast,2008-03-31,31,283162
Capital and Coast,2008-04-30,40,283397
Capital and Coast,2008-05-31,41,283637
Capital and Coast,2008-06-30,20,283879
Capital and Coast,2008-07-31,47,284123
Capital and Coast,2008-08-31,43,284366
Capital and Coast,2008-09-30,40,284607
Capital and Coast,2008-10-31,59,284844
Capital and Coast,2008-11-30,67,285075
Capital and Coast,2008-12-31,106,285300
Capital and Coast,2009-01-31,58,285516
Capital and Coast,2009-02-28,53,285725
Capital and Coast,2009-03-31,53,285928
Capital and Coast,2009-04-30,48,286126
Capital and Coast,2009-05-31,41,286320
Capital and Coast,2009-06-30,45,286513
Capital and Coast,2009-07-31,44,286704
Capital and Coast,2009-08-31,61,286897
Capital and Coast,2009-09-30,69,287091
Capital and Coast,2009-10-31,50,287289
Capital and Coast,2009-11-30,84,287491
Capital and Coast,2009-12-31,86,287700
Capital and Coast,2010-01-31,82,287916
Capital and Coast,2010-02-28,68,288137
Capital and Coast,2010-03-31,40,288363
Capital and Coast,2010-04-30,42,288593
Capital and Coast,2010-05-31,42,288825
Capital and Coast,2010-06-30,41,289058
Capital and Coast,2010-07-31,48,289291
Capital and Coast,2010-08-31,45,289521
Capital and Coast,2010-09-30,41,289749
Capital and Coast,2010-10-31,42,289972
Capital and Coast,2010-11-30,55,290190
Capital and Coast,2010-12-31,46,290400
Capital and Coast,2011-01-31,40,290602
Capital and Coast,2011-02-28,31,290796
Capital and Coast,2011-03-31,31,290981
Capital and Coast,2011-04-30,39,291157
Capital and Coast,2011-05-31,46,291323
Capital and Coast,2011-06-30,46,291479
Capital and Coast,2011-07-31,47,291626
Capital and Coast,2011-08-31,75,291762
Capital and Coast,2011-09-30,37,291888
Capital and Coast,2011-10-31,39,292003
Capital and Coast,2011-11-30,53,292107
Capital and Coast,2011-12-31,45,292200
Capital and Coast,2012-01-31,63,292282
Capital and Coast,2012-02-29,48,292356
Capital and Coast,2012-03-31,29,292425
Capital and Coast,2012-04-30,43,292495
Capital and Coast,2012-05-31,33,292568
Capital and Coast,2012-06-30,25,292649
Capital and Coast,2012-07-31,26,292741
Capital and Coast,2012-08-31,20,292847
Capital and Coast,2012-09-30,30,292973
Capital and Coast,2012-10-31,33,293121
Capital and Coast,2012-11-30,43,293295
Capital and Coast,2012-12-31,37,293500
Capital and Coast,2013-01-31,36,293737
Capital and Coast,2013-02-28,44,294006
Capital and Coast,2013-03-31,24,294302
Capital and Coast,2013-04-30,25,294623
Capital and Coast,2013-05-31,32,294965
Capital and Coast,2013-06-30,27,295325
Capital and Coast,2013-07-31,36,295701
Capital and Coast,2013-08-31,42,296089
Capital and Coast,2013-09-30,27,296486
Capital and Coast,2013-10-31,31,296889
Capital and Coast,2013-11-30,56,297295
Capital and Coast,2013-12-31,60,297700
Capital and Coast,2014-01-31,49,298102
Capital and Coast,2014-02-28,28,298502
Capital and Coast,2014-03-31,47,298900
Capital and Coast,2014-04-30,24,299296
Capital and Coast,2014-05-31,33,299691
Capital and Coast,2014-06-30,41,300087
Capital and Coast,2014-07-31,26,300483
Capital and Coast,2014-08-31,48,300881
Capital and Coast,2014-09-30,39,301281
Capital and Coast,2014-10-31,53,301683
Capital and Coast,2014-11-30,58,302090
Capital and Coast,2014-12-31,97,302500
Wairarapa,2008-01-31,3,40233
Wairarapa,2008-02-29,2,40265
Wairarapa,2008-03-31,3,40296
Wairarapa,2008-04-30,2,40327
Wairarapa,2008-05-31,1,40358
Wairarapa,2008-06-30,1,40389
Wairarapa,2008-07-31,4,40421
Wairarapa,2008-08-31,4,40454
Wairarapa,2008-09-30,10,40488
Wairarapa,2008-10-31,9,40524
Wairarapa,2008-11-30,6,40561
Wairarapa,2008-12-31,4,40600
Wairarapa,2009-01-31,6,40641
Wairarapa,2009-02-28,10,40685
Wairarapa,2009-03-31,3,40731
Wairarapa,2009-04-30,2,40778
Wairarapa,2009-05-31,4,40827
Wairarapa,2009-06-30,0,40878
Wairarapa,2009-07-31,5,40929
Wairarapa,2009-08-31,1,40982
Wairarapa,2009-09-30,6,41036
Wairarapa,2009-10-31,8,41090
Wairarapa,2009-11-30,9,41145
Wairarapa,2009-12-31,15,41200
Wairarapa,2010-01-31,8,41255
Wairarapa,2010-02-28,12,41311
Wairarapa,2010-03-31,9,41366
Wairarapa,2010-04-30,6,41420
Wairarapa,2010-05-31,4,41473
Wairarapa,2010-06-30,4,41525
Wairarapa,2010-07-31,8,41576
Wairarapa,2010-08-31,5,41625
Wairarapa,2010-09-30,4,41673
Wairarapa,2010-10-31,5,41718
Wairarapa,2010-11-30,2,41760
Wairarapa,2010-12-31,6,41800
Wairarapa,2011-01-31,7,41837
Wairarapa,2011-02-28,5,41871
Wairarapa,2011-03-31,9,41902
Wairarapa,2011-04-30,3,41932
Wairarapa,2011-05-31,9,41958
Wairarapa,2011-06-30,4,41983
Wairarapa,2011-07-31,3,42006
Wairarapa,2011-08-31,9,42027
Wairarapa,2011-09-30,6,42047
Wairarapa,2011-10-31,2,42066
Wairarapa,2011-11-30,17,42083
Wairarapa,2011-12-31,15,42100
Wairarapa,2012-01-31,15,42116
Wairarapa,2012-02-29,9,42132
Wairarapa,2012-03-31,5,42148
Wairarapa,2012-04-30,7,42165
Wairarapa,2012-05-31,3,42184
