School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
Tauraroa Area School,Composite,Composite (Year 1-15),State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Tauriko School,Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Tautoro School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Tauwhare School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Tawa College,Secondary,Secondary (Year 9-15),State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Tawa Intermediate,Primary,Intermediate,State: Not integrated,8,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Tawa School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Tawera Bilingual School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Bilingual School,Not a Kura School,Bay of Plenty,Whakatane
Tawhai School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Lower Hutt
Tawhero School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Tawhiti School,Primary,Contributing,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Taranaki,South Taranaki
Te Aho o Te Kura Pounamu,Composite,Correspondence School,State: Not integrated,NA,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Correspondence School,Correspondence School
Te Akau ki Papamoa Primary School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Bay of Plenty,Tauranga
Te Akau School,Primary,Full Primary,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Anau School,Primary,Contributing,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Southland,Southland
Te Ao Marama School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Hamilton
Te Ara Maurea Roydvale School,Primary,Contributing,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Canterbury,Christchurch
Te Aratika Academy,Secondary,Secondary (Year 9-15),State: Not integrated,2,Single Sex-Boys,No Affiliation,Not Applicable,Designated Character School,Designated Character,Hawkes Bay,Hastings
Te Aro School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Wellington
Te Aroha College,Secondary,Secondary (Year 9-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Te Aroha Primary School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Matamata-Piako
Te Atatu Intermediate,Primary,Intermediate,State: Not integrated,6,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Henderson-Massey
Te Aute College,Secondary,Secondary (Year 9-15),State: Integrated,3,Single Sex-Boys,No Affiliation,Not Applicable,Secondary Māori Boarding School,Not a Kura School,Hawkes Bay,Central Hawke's Bay
Te Awa School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Hawkes Bay,Napier
Te Awamutu College,Secondary,Secondary (Year 9-15),State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Te Awamutu Intermediate,Primary,Intermediate,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Te Awamutu Primary School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waipa
Te Hapara School,Primary,Contributing,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Te Hapua School,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Far North
Te Hihi School,Primary,Full Primary,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Franklin
Te Horo School (Otaki),Primary,Full Primary,State: Not integrated,9,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Wellington,Kapiti Coast
Te Horo School (Whangarei),Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Te Huruhi School,Primary,Contributing,State: Not integrated,7,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Waiheke
Te Kapehu Whetu (Teina),Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Northland,Whangarei
Te Kapehu Whetu (Tuakana),Secondary,Secondary (Year 9-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Northland,Whangarei
Te Karaka Area School,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Gisborne,Gisborne
Te Kauwhata College,Secondary,Secondary (Year 7-15),State: Not integrated,4,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Kauwhata Primary School,Primary,Contributing,State: Not integrated,5,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te KKM o Puau Te Moananui-a-Kiwa,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Auckland,Auckland: Maungakiekie-Tamaki
Te Kohanga School,Primary,Contributing,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Komanawa Rowley School,Primary,Contributing,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual Year 7-8 School,Not a Kura School,Canterbury,Christchurch
Te Kopuku High,Secondary,Secondary (Year 7-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Waikato,Hamilton
Te Kopuru School,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Kaipara
Te Kowhai School,Primary,Full Primary,State: Not integrated,10,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Kuiti High School,Secondary,Secondary (Year 9-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Te Kuiti Primary School,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waitomo
Te Kura Akonga O Manurewa,Primary,Full Primary,State: Integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Auckland,Auckland: Manurewa
Te Kura Amorangi o Whakawatea,Primary,Full Primary,State: Not integrated,4,Co-Ed,Organisational Affiliation,Māori Trusts,Designated Character School,Designated Character,Waikato,Waipa
Te Kura Kaupapa Maori o Horouta Wananga,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Gisborne,Gisborne
Te Kura Kaupapa Maori o Taumarunui,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Manawatu-Whanganui,Ruapehu
Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Bay of Plenty,Whakatane
Te Kura Kaupapa Maori o Whatatutu,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Gisborne,Gisborne
Te Kura Mana Maori Maraenui,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Bay of Plenty,Opotiki
Te Kura Mana Maori o Matahi,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Bay of Plenty,Whakatane
Te Kura Mana Maori o Whangaparaoa,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Opotiki
Te Kura Maori o Nga Tapuwae,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Auckland,Auckland: Mangere-Otahuhu
Te Kura Maori o Porirua,Composite,Composite (Year 1-15),State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Wellington,Porirua
Te Kura Maori-a-Rohe o Waiohau,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Kura Kaupapa Māori,Kura Kaupapa Māori,Bay of Plenty,Whakatane
Te Kura o Hata Maria (Pawarenga),Primary,Full Primary,State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Northland,Far North
Te Kura o Hato Hohepa Te Kamura,Primary,Full Primary,State: Integrated,1,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Northland,Far North
Te Kura o Hirangi,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Waikato,Taupo
Te Kura o Kokohuia,Composite,Composite (Year 1-15),State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Whanganui
Te Kura o Matapihi,Primary,Full Primary,State: Not integrated,3,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Bay of Plenty,Tauranga
Te Kura o Nga Ruahine Rangi,Composite,Composite (Year 1-15),State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Designated Character School,Designated Character,Taranaki,South Taranaki
Te Kura o Ngapuke,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Ruapehu
Te Kura o Otangarei,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Northland,Whangarei
Te Kura o Pakipaki,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Bilingual School,Not a Kura School,Hawkes Bay,Hastings
Te Kura o Rangiriri,Primary,Full Primary,State: Not integrated,1,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Waikato,Waikato
Te Kura o Ratana,Primary,Full Primary,State: Not integrated,2,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Not a Kura School,Manawatu-Whanganui,Rangitikei
