School,Sector,Type,Authority,Decile,SchoolGender,AffiliationType,Affiliation,Definition,KuraType,RegionalCouncil,TerritorialAuthority
St Michael's Catholic School (Remuera),Primary,Contributing,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Auckland,Auckland: Orakei
St Michael's Catholic School (Rotorua),Primary,Contributing,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Bay of Plenty,Rotorua
St Michael's Church School,Primary,Full Primary,Private: Fully Reg.,8,Co-Ed,Religious Affiliation,Anglican,Not Applicable,Not a Kura School,Canterbury,Christchurch
St Michael's School (Taita),Primary,Full Primary,State: Integrated,2,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Lower Hutt
St Oran's College,Secondary,Secondary (Year 7-15),State: Integrated,10,Single Sex-Girls,Religious Affiliation,Presbyterian,Not Applicable,Not a Kura School,Wellington,Lower Hutt
St Patrick's Catholic School (Taumarunui),Primary,Full Primary,State: Integrated,4,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Manawatu-Whanganui,Ruapehu
St Patrick's Catholic School (Taupo),Primary,Full Primary,State: Integrated,8,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Taupo
St Patrick's Catholic School (Te Awamutu),Primary,Full Primary,State: Integrated,7,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Waikato,Waipa
St Patrick's College (Kilbirnie),Secondary,Secondary (Year 9-15),State: Integrated,8,Single Sex-Boys,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Wellington,Wellington
St Patrick's College (Silverstream),Secondary,Secondary (Year 9-15),State: Integrated,8,Single Sex-Boys,Religious Affiliation,Roman Catholic,School with Boarding Facilities,Not a Kura School,Wellington,Upper Hutt
St Patrick's School (Bryndwr),Primary,Full Primary,State: Integrated,10,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,Canterbury,Christchurch
St Patrick's School (Greymouth),Primary,Full Primary,State: Integrated,6,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Not a Kura School,West Coast,Grey
