DHB,Date,Age,Ethnicity,Eligible,Immunised
Auckland,2010-10-01,18 months,Asian,377,323
Auckland,2010-10-01,18 months,Maori,183,115
Auckland,2010-10-01,18 months,NZE,515,410
Auckland,2010-10-01,18 months,Other,284,213
Auckland,2010-10-01,18 months,Pacific,341,259
Auckland,2010-10-01,18 months,Total,1700,1320
Auckland,2010-10-01,24 months,Asian,367,340
Auckland,2010-10-01,24 months,Maori,183,140
Auckland,2010-10-01,24 months,NZE,422,368
Auckland,2010-10-01,24 months,Other,269,226
Auckland,2010-10-01,24 months,Pacific,369,332
Auckland,2010-10-01,24 months,Total,1610,1406
Auckland,2010-10-01,5 years,Asian,324,241
Auckland,2010-10-01,5 years,Maori,169,119
Auckland,2010-10-01,5 years,NZE,418,305
Auckland,2010-10-01,5 years,Other,303,205
Auckland,2010-10-01,5 years,Pacific,326,237
Auckland,2010-10-01,5 years,Total,1540,1107
Auckland,2011-01-01,6 months,Asian,395,323
Auckland,2011-01-01,6 months,Maori,195,116
Auckland,2011-01-01,6 months,NZE,422,346
Auckland,2011-01-01,6 months,Other,243,179
Auckland,2011-01-01,6 months,Pacific,340,229
Auckland,2011-01-01,6 months,Total,1595,1193
Auckland,2011-01-01,12 months,Asian,438,423
Auckland,2011-01-01,12 months,Maori,239,207
Auckland,2011-01-01,12 months,NZE,487,452
Auckland,2011-01-01,12 months,Other,246,225
Auckland,2011-01-01,12 months,Pacific,349,317
Auckland,2011-01-01,12 months,Total,1759,1624
Auckland,2011-01-01,18 months,Asian,385,320
Auckland,2011-01-01,18 months,Maori,220,144
Auckland,2011-01-01,18 months,NZE,425,326
Auckland,2011-01-01,18 months,Other,261,198
Auckland,2011-01-01,18 months,Pacific,302,244
Auckland,2011-01-01,18 months,Total,1593,1232
Auckland,2011-01-01,24 months,Asian,361,322
Auckland,2011-01-01,24 months,Maori,199,157
Auckland,2011-01-01,24 months,NZE,453,405
Auckland,2011-01-01,24 months,Other,292,245
Auckland,2011-01-01,24 months,Pacific,325,288
Auckland,2011-01-01,24 months,Total,1630,1417
Auckland,2011-01-01,5 years,Asian,377,265
Auckland,2011-01-01,5 years,Maori,185,125
Auckland,2011-01-01,5 years,NZE,372,280
Auckland,2011-01-01,5 years,Other,319,220
Auckland,2011-01-01,5 years,Pacific,303,215
Auckland,2011-01-01,5 years,Total,1556,1105
Auckland,2011-04-01,6 months,Asian,432,356
Auckland,2011-04-01,6 months,Maori,221,130
Auckland,2011-04-01,6 months,NZE,439,324
Auckland,2011-04-01,6 months,Other,271,208
Auckland,2011-04-01,6 months,Pacific,366,246
Auckland,2011-04-01,6 months,Total,1729,1264
Auckland,2011-04-01,12 months,Asian,369,358
Auckland,2011-04-01,12 months,Maori,216,176
Auckland,2011-04-01,12 months,NZE,420,385
Auckland,2011-04-01,12 months,Other,290,262
Auckland,2011-04-01,12 months,Pacific,331,300
Auckland,2011-04-01,12 months,Total,1626,1481
Auckland,2011-04-01,18 months,Asian,419,365
Auckland,2011-04-01,18 months,Maori,226,154
Auckland,2011-04-01,18 months,NZE,433,352
Auckland,2011-04-01,18 months,Other,262,194
Auckland,2011-04-01,18 months,Pacific,333,256
Auckland,2011-04-01,18 months,Total,1673,1321
Auckland,2011-04-01,24 months,Asian,377,351
Auckland,2011-04-01,24 months,Maori,193,153
Auckland,2011-04-01,24 months,NZE,513,453
Auckland,2011-04-01,24 months,Other,290,244
Auckland,2011-04-01,24 months,Pacific,333,296
Auckland,2011-04-01,24 months,Total,1706,1497
Auckland,2011-04-01,5 years,Asian,333,256
Auckland,2011-04-01,5 years,Maori,183,134
Auckland,2011-04-01,5 years,NZE,374,289
Auckland,2011-04-01,5 years,Other,291,200
Auckland,2011-04-01,5 years,Pacific,326,235
Auckland,2011-04-01,5 years,Total,1507,1114
Auckland,2011-07-01,6 months,Asian,440,378
Auckland,2011-07-01,6 months,Maori,201,115
Auckland,2011-07-01,6 months,NZE,500,384
Auckland,2011-07-01,6 months,Other,247,203
Auckland,2011-07-01,6 months,Pacific,326,220
Auckland,2011-07-01,6 months,Total,1714,1300
Auckland,2011-07-01,12 months,Asian,382,369
Auckland,2011-07-01,12 months,Maori,196,160
Auckland,2011-07-01,12 months,NZE,427,405
Auckland,2011-07-01,12 months,Other,258,232
Auckland,2011-07-01,12 months,Pacific,335,317
Auckland,2011-07-01,12 months,Total,1598,1483
Auckland,2011-07-01,18 months,Asian,430,391
Auckland,2011-07-01,18 months,Maori,233,184
Auckland,2011-07-01,18 months,NZE,470,407
Auckland,2011-07-01,18 months,Other,243,201
Auckland,2011-07-01,18 months,Pacific,348,279
Auckland,2011-07-01,18 months,Total,1724,1462
Auckland,2011-07-01,24 months,Asian,372,353
Auckland,2011-07-01,24 months,Maori,213,189
Auckland,2011-07-01,24 months,NZE,416,385
Auckland,2011-07-01,24 months,Other,257,219
Auckland,2011-07-01,24 months,Pacific,302,287
Auckland,2011-07-01,24 months,Total,1560,1433
Auckland,2011-07-01,5 years,Asian,318,233
Auckland,2011-07-01,5 years,Maori,176,128
Auckland,2011-07-01,5 years,NZE,386,327
Auckland,2011-07-01,5 years,Other,321,249
Auckland,2011-07-01,5 years,Pacific,325,249
Auckland,2011-07-01,5 years,Total,1526,1186
Auckland,2011-10-01,6 months,Asian,406,352
Auckland,2011-10-01,6 months,Maori,213,131
Auckland,2011-10-01,6 months,NZE,456,369
Auckland,2011-10-01,6 months,Other,264,212
Auckland,2011-10-01,6 months,Pacific,314,218
Auckland,2011-10-01,6 months,Total,1653,1282
Auckland,2011-10-01,12 months,Asian,427,414
Auckland,2011-10-01,12 months,Maori,215,191
Auckland,2011-10-01,12 months,NZE,438,403
Auckland,2011-10-01,12 months,Other,281,259
Auckland,2011-10-01,12 months,Pacific,360,330
Auckland,2011-10-01,12 months,Total,1721,1597
Auckland,2011-10-01,18 months,Asian,357,331
Auckland,2011-10-01,18 months,Maori,199,145
Auckland,2011-10-01,18 months,NZE,421,362
Auckland,2011-10-01,18 months,Other,300,252
Auckland,2011-10-01,18 months,Pacific,328,264
Auckland,2011-10-01,18 months,Total,1605,1354
Auckland,2011-10-01,24 months,Asian,416,396
Auckland,2011-10-01,24 months,Maori,214,183
Auckland,2011-10-01,24 months,NZE,433,400
Auckland,2011-10-01,24 months,Other,269,229
Auckland,2011-10-01,24 months,Pacific,321,299
Auckland,2011-10-01,24 months,Total,1653,1507
Auckland,2011-10-01,5 years,Asian,349,265
Auckland,2011-10-01,5 years,Maori,187,132
Auckland,2011-10-01,5 years,NZE,394,336
Auckland,2011-10-01,5 years,Other,296,230
Auckland,2011-10-01,5 years,Pacific,334,261
Auckland,2011-10-01,5 years,Total,1560,1224
Auckland,2011-12-31,6 months,Asian,380,339
Auckland,2011-12-31,6 months,Maori,222,135
Auckland,2011-12-31,6 months,NZE,436,368
Auckland,2011-12-31,6 months,Other,218,182
Auckland,2011-12-31,6 months,Pacific,310,221
Auckland,2011-12-31,6 months,Total,1566,1245
Auckland,2011-12-31,12 months,Asian,439,421
Auckland,2011-12-31,12 months,Maori,198,179
Auckland,2011-12-31,12 months,NZE,470,438
Auckland,2011-12-31,12 months,Other,246,225
Auckland,2011-12-31,12 months,Pacific,333,311
Auckland,2011-12-31,12 months,Total,1686,1574
Auckland,2011-12-31,18 months,Asian,378,351
Auckland,2011-12-31,18 months,Maori,190,146
Auckland,2011-12-31,18 months,NZE,398,369
Auckland,2011-12-31,18 months,Other,237,199
Auckland,2011-12-31,18 months,Pacific,328,278
Auckland,2011-12-31,18 months,Total,1531,1343
Auckland,2011-12-31,24 months,Asian,417,401
Auckland,2011-12-31,24 months,Maori,241,218
Auckland,2011-12-31,24 months,NZE,463,437
Auckland,2011-12-31,24 months,Other,241,216
Auckland,2011-12-31,24 months,Pacific,327,307
Auckland,2011-12-31,24 months,Total,1689,1579
Auckland,2011-12-31,5 years,Asian,383,314
Auckland,2011-12-31,5 years,Maori,180,144
Auckland,2011-12-31,5 years,NZE,396,341
Auckland,2011-12-31,5 years,Other,300,225
Auckland,2011-12-31,5 years,Pacific,298,244
Auckland,2011-12-31,5 years,Total,1557,1268
Auckland,2012-03-31,6 months,Asian,461,387
Auckland,2012-03-31,6 months,Maori,228,135
Auckland,2012-03-31,6 months,NZE,411,347
Auckland,2012-03-31,6 months,Other,237,195
Auckland,2012-03-31,6 months,Pacific,345,243
Auckland,2012-03-31,6 months,Total,1682,1307
Auckland,2012-03-31,12 months,Asian,407,392
Auckland,2012-03-31,12 months,Maori,205,174
Auckland,2012-03-31,12 months,NZE,449,421
Auckland,2012-03-31,12 months,Other,279,252
Auckland,2012-03-31,12 months,Pacific,298,280
Auckland,2012-03-31,12 months,Total,1638,1519
Auckland,2012-03-31,18 months,Asian,385,359
Auckland,2012-03-31,18 months,Maori,210,172
Auckland,2012-03-31,18 months,NZE,423,361
Auckland,2012-03-31,18 months,Other,272,220
Auckland,2012-03-31,18 months,Pacific,343,288
Auckland,2012-03-31,18 months,Total,1633,1400
Auckland,2012-03-31,24 months,Asian,364,351
Auckland,2012-03-31,24 months,Maori,193,160
Auckland,2012-03-31,24 months,NZE,412,388
Auckland,2012-03-31,24 months,Other,294,264
Auckland,2012-03-31,24 months,Pacific,324,304
Auckland,2012-03-31,24 months,Total,1587,1467
Auckland,2012-03-31,5 years,Asian,323,238
Auckland,2012-03-31,5 years,Maori,198,156
Auckland,2012-03-31,5 years,NZE,433,374
Auckland,2012-03-31,5 years,Other,296,228
Auckland,2012-03-31,5 years,Pacific,310,254
Auckland,2012-03-31,5 years,Total,1560,1250
Auckland,2012-06-30,6 months,Asian,407,348
Auckland,2012-06-30,6 months,Maori,194,119
Auckland,2012-06-30,6 months,NZE,457,373
Auckland,2012-06-30,6 months,Other,246,195
Auckland,2012-06-30,6 months,Pacific,273,193
Auckland,2012-06-30,6 months,Total,1577,1228
Auckland,2012-06-30,12 months,Asian,388,378
Auckland,2012-06-30,12 months,Maori,226,198
Auckland,2012-06-30,12 months,NZE,438,413
Auckland,2012-06-30,12 months,Other,223,212
Auckland,2012-06-30,12 months,Pacific,301,276
Auckland,2012-06-30,12 months,Total,1576,1477
Auckland,2012-06-30,18 months,Asian,426,380
Auckland,2012-06-30,18 months,Maori,193,151
Auckland,2012-06-30,18 months,NZE,459,385
Auckland,2012-06-30,18 months,Other,241,194
Auckland,2012-06-30,18 months,Pacific,328,269
Auckland,2012-06-30,18 months,Total,1647,1379
Auckland,2012-06-30,24 months,Asian,376,365
Auckland,2012-06-30,24 months,Maori,188,172
Auckland,2012-06-30,24 months,NZE,398,381
Auckland,2012-06-30,24 months,Other,232,213
Auckland,2012-06-30,24 months,Pacific,321,315
Auckland,2012-06-30,24 months,Total,1515,1446
Auckland,2012-06-30,5 years,Asian,326,271
Auckland,2012-06-30,5 years,Maori,157,127
Auckland,2012-06-30,5 years,NZE,383,341
Auckland,2012-06-30,5 years,Other,283,212
Auckland,2012-06-30,5 years,Pacific,341,283
Auckland,2012-06-30,5 years,Total,1490,1234
Auckland,2012-09-30,6 months,Asian,435,373
Auckland,2012-09-30,6 months,Maori,194,132
Auckland,2012-09-30,6 months,NZE,461,366
Auckland,2012-09-30,6 months,Other,229,175
Auckland,2012-09-30,6 months,Pacific,337,242
Auckland,2012-09-30,6 months,Total,1656,1288
Auckland,2012-09-30,8 months,Asian,435,407
Auckland,2012-09-30,8 months,Maori,183,149
Auckland,2012-09-30,8 months,NZE,460,416
Auckland,2012-09-30,8 months,Other,237,211
Auckland,2012-09-30,8 months,Pacific,270,232
Auckland,2012-09-30,8 months,Total,1585,1415
Auckland,2012-09-30,12 months,Asian,460,442
Auckland,2012-09-30,12 months,Maori,226,195
Auckland,2012-09-30,12 months,NZE,410,392
Auckland,2012-09-30,12 months,Other,241,224
Auckland,2012-09-30,12 months,Pacific,343,318
Auckland,2012-09-30,12 months,Total,1680,1571
Auckland,2012-09-30,18 months,Asian,398,362
Auckland,2012-09-30,18 months,Maori,199,152
Auckland,2012-09-30,18 months,NZE,429,352
Auckland,2012-09-30,18 months,Other,271,218
Auckland,2012-09-30,18 months,Pacific,301,247
Auckland,2012-09-30,18 months,Total,1598,1331
Auckland,2012-09-30,24 months,Asian,393,378
Auckland,2012-09-30,24 months,Maori,205,186
Auckland,2012-09-30,24 months,NZE,419,376
Auckland,2012-09-30,24 months,Other,271,232
Auckland,2012-09-30,24 months,Pacific,329,307
Auckland,2012-09-30,24 months,Total,1617,1479
